error 2020-05-19T20:47:26.272 thread-0  main.cpp:131                  main                 ] /Users/anka/eos/libraries/appbase/application.cpp(229): Throw in function bool appbase::application::initialize_impl(int, char **, vector<appbase::abstract_plugin *>)
Dynamic exception type: boost::wrapexcept<std::runtime_error>
std::exception::what: Unknown option '--fill-pg' passed as command line argument

info  2020-05-19T20:50:30.010 thread-0  block_log.cpp:659             repair_log           ] Recovered block 21000
info  2020-05-19T20:50:30.028 thread-0  block_log.cpp:659             repair_log           ] Recovered block 22000
info  2020-05-19T20:50:30.038 thread-0  block_log.cpp:659             repair_log           ] Recovered block 23000
info  2020-05-19T20:50:30.050 thread-0  block_log.cpp:659             repair_log           ] Recovered block 24000
info  2020-05-19T20:50:30.060 thread-0  block_log.cpp:659             repair_log           ] Recovered block 25000
info  2020-05-19T20:50:30.070 thread-0  block_log.cpp:659             repair_log           ] Recovered block 26000
info  2020-05-19T20:50:30.083 thread-0  block_log.cpp:659             repair_log           ] Recovered block 27000
info  2020-05-19T20:50:30.102 thread-0  block_log.cpp:659             repair_log           ] Recovered block 28000
info  2020-05-19T20:50:30.115 thread-0  block_log.cpp:659             repair_log           ] Recovered block 29000
info  2020-05-19T20:50:30.131 thread-0  block_log.cpp:659             repair_log           ] Recovered block 30000
info  2020-05-19T20:50:30.143 thread-0  block_log.cpp:659             repair_log           ] Recovered block 31000
info  2020-05-19T20:50:30.155 thread-0  block_log.cpp:659             repair_log           ] Recovered block 32000
info  2020-05-19T20:50:30.166 thread-0  block_log.cpp:659             repair_log           ] Recovered block 33000
info  2020-05-19T20:50:30.177 thread-0  block_log.cpp:659             repair_log           ] Recovered block 34000
info  2020-05-19T20:50:30.190 thread-0  block_log.cpp:659             repair_log           ] Recovered block 35000
info  2020-05-19T20:50:30.204 thread-0  block_log.cpp:659             repair_log           ] Recovered block 36000
info  2020-05-19T20:50:30.221 thread-0  block_log.cpp:659             repair_log           ] Recovered block 37000
info  2020-05-19T20:50:30.236 thread-0  block_log.cpp:659             repair_log           ] Recovered block 38000
info  2020-05-19T20:50:30.260 thread-0  block_log.cpp:659             repair_log           ] Recovered block 39000
info  2020-05-19T20:50:30.276 thread-0  block_log.cpp:659             repair_log           ] Recovered block 40000
info  2020-05-19T20:50:30.288 thread-0  block_log.cpp:659             repair_log           ] Recovered block 41000
info  2020-05-19T20:50:30.301 thread-0  block_log.cpp:659             repair_log           ] Recovered block 42000
info  2020-05-19T20:50:30.314 thread-0  block_log.cpp:659             repair_log           ] Recovered block 43000
info  2020-05-19T20:50:30.330 thread-0  block_log.cpp:659             repair_log           ] Recovered block 44000
info  2020-05-19T20:50:30.354 thread-0  block_log.cpp:659             repair_log           ] Recovered block 45000
info  2020-05-19T20:50:30.365 thread-0  block_log.cpp:659             repair_log           ] Recovered block 46000
info  2020-05-19T20:50:30.375 thread-0  block_log.cpp:659             repair_log           ] Recovered block 47000
info  2020-05-19T20:50:30.398 thread-0  block_log.cpp:659             repair_log           ] Recovered block 48000
info  2020-05-19T20:50:30.410 thread-0  block_log.cpp:659             repair_log           ] Recovered block 49000
info  2020-05-19T20:50:30.420 thread-0  block_log.cpp:659             repair_log           ] Recovered block 50000
info  2020-05-19T20:50:30.430 thread-0  block_log.cpp:659             repair_log           ] Recovered block 51000
info  2020-05-19T20:50:30.440 thread-0  block_log.cpp:659             repair_log           ] Recovered block 52000
info  2020-05-19T20:50:30.451 thread-0  block_log.cpp:659             repair_log           ] Recovered block 53000
info  2020-05-19T20:50:30.461 thread-0  block_log.cpp:659             repair_log           ] Recovered block 54000
info  2020-05-19T20:50:30.480 thread-0  block_log.cpp:659             repair_log           ] Recovered block 55000
info  2020-05-19T20:50:30.491 thread-0  block_log.cpp:659             repair_log           ] Recovered block 56000
info  2020-05-19T20:50:30.501 thread-0  block_log.cpp:659             repair_log           ] Recovered block 57000
info  2020-05-19T20:50:30.511 thread-0  block_log.cpp:659             repair_log           ] Recovered block 58000
info  2020-05-19T20:50:30.523 thread-0  block_log.cpp:659             repair_log           ] Recovered block 59000
info  2020-05-19T20:50:30.533 thread-0  block_log.cpp:659             repair_log           ] Recovered block 60000
info  2020-05-19T20:50:30.553 thread-0  block_log.cpp:659             repair_log           ] Recovered block 61000
info  2020-05-19T20:50:30.564 thread-0  block_log.cpp:659             repair_log           ] Recovered block 62000
info  2020-05-19T20:50:30.575 thread-0  block_log.cpp:659             repair_log           ] Recovered block 63000
info  2020-05-19T20:50:30.587 thread-0  block_log.cpp:659             repair_log           ] Recovered block 64000
info  2020-05-19T20:50:30.598 thread-0  block_log.cpp:659             repair_log           ] Recovered block 65000
info  2020-05-19T20:50:30.609 thread-0  block_log.cpp:659             repair_log           ] Recovered block 66000
info  2020-05-19T20:50:30.619 thread-0  block_log.cpp:659             repair_log           ] Recovered block 67000
info  2020-05-19T20:50:30.629 thread-0  block_log.cpp:659             repair_log           ] Recovered block 68000
info  2020-05-19T20:50:30.639 thread-0  block_log.cpp:659             repair_log           ] Recovered block 69000
info  2020-05-19T20:50:30.649 thread-0  block_log.cpp:659             repair_log           ] Recovered block 70000
info  2020-05-19T20:50:30.665 thread-0  block_log.cpp:659             repair_log           ] Recovered block 71000
info  2020-05-19T20:50:30.681 thread-0  block_log.cpp:659             repair_log           ] Recovered block 72000
info  2020-05-19T20:50:30.691 thread-0  block_log.cpp:659             repair_log           ] Recovered block 73000
info  2020-05-19T20:50:30.701 thread-0  block_log.cpp:659             repair_log           ] Recovered block 74000
info  2020-05-19T20:50:30.713 thread-0  block_log.cpp:659             repair_log           ] Recovered block 75000
info  2020-05-19T20:50:30.724 thread-0  block_log.cpp:659             repair_log           ] Recovered block 76000
info  2020-05-19T20:50:30.736 thread-0  block_log.cpp:659             repair_log           ] Recovered block 77000
info  2020-05-19T20:50:30.750 thread-0  block_log.cpp:659             repair_log           ] Recovered block 78000
info  2020-05-19T20:50:30.765 thread-0  block_log.cpp:659             repair_log           ] Recovered block 79000
info  2020-05-19T20:50:30.781 thread-0  block_log.cpp:659             repair_log           ] Recovered block 80000
info  2020-05-19T20:50:30.794 thread-0  block_log.cpp:659             repair_log           ] Recovered block 81000
info  2020-05-19T20:50:30.838 thread-0  block_log.cpp:659             repair_log           ] Recovered block 82000
info  2020-05-19T20:50:30.902 thread-0  block_log.cpp:659             repair_log           ] Recovered block 83000
info  2020-05-19T20:50:30.920 thread-0  block_log.cpp:659             repair_log           ] Recovered block 84000
info  2020-05-19T20:50:30.938 thread-0  block_log.cpp:659             repair_log           ] Recovered block 85000
info  2020-05-19T20:50:30.957 thread-0  block_log.cpp:659             repair_log           ] Recovered block 86000
info  2020-05-19T20:50:30.971 thread-0  block_log.cpp:659             repair_log           ] Recovered block 87000
info  2020-05-19T20:50:30.992 thread-0  block_log.cpp:659             repair_log           ] Recovered block 88000
info  2020-05-19T20:50:31.028 thread-0  block_log.cpp:659             repair_log           ] Recovered block 89000
info  2020-05-19T20:50:31.047 thread-0  block_log.cpp:659             repair_log           ] Recovered block 90000
info  2020-05-19T20:50:31.062 thread-0  block_log.cpp:659             repair_log           ] Recovered block 91000
info  2020-05-19T20:50:31.078 thread-0  block_log.cpp:659             repair_log           ] Recovered block 92000
info  2020-05-19T20:50:31.093 thread-0  block_log.cpp:659             repair_log           ] Recovered block 93000
info  2020-05-19T20:50:31.109 thread-0  block_log.cpp:659             repair_log           ] Recovered block 94000
info  2020-05-19T20:50:31.124 thread-0  block_log.cpp:659             repair_log           ] Recovered block 95000
info  2020-05-19T20:50:31.140 thread-0  block_log.cpp:659             repair_log           ] Recovered block 96000
info  2020-05-19T20:50:31.153 thread-0  block_log.cpp:659             repair_log           ] Recovered block 97000
info  2020-05-19T20:50:31.165 thread-0  block_log.cpp:659             repair_log           ] Recovered block 98000
info  2020-05-19T20:50:31.177 thread-0  block_log.cpp:659             repair_log           ] Recovered block 99000
info  2020-05-19T20:50:31.189 thread-0  block_log.cpp:659             repair_log           ] Recovered block 100000
info  2020-05-19T20:50:31.217 thread-0  block_log.cpp:659             repair_log           ] Recovered block 101000
info  2020-05-19T20:50:31.233 thread-0  block_log.cpp:659             repair_log           ] Recovered block 102000
info  2020-05-19T20:50:31.244 thread-0  block_log.cpp:659             repair_log           ] Recovered block 103000
info  2020-05-19T20:50:31.255 thread-0  block_log.cpp:659             repair_log           ] Recovered block 104000
info  2020-05-19T20:50:31.266 thread-0  block_log.cpp:659             repair_log           ] Recovered block 105000
info  2020-05-19T20:50:31.283 thread-0  block_log.cpp:659             repair_log           ] Recovered block 106000
info  2020-05-19T20:50:31.298 thread-0  block_log.cpp:659             repair_log           ] Recovered block 107000
info  2020-05-19T20:50:31.314 thread-0  block_log.cpp:659             repair_log           ] Recovered block 108000
info  2020-05-19T20:50:31.328 thread-0  block_log.cpp:659             repair_log           ] Recovered block 109000
info  2020-05-19T20:50:31.351 thread-0  block_log.cpp:659             repair_log           ] Recovered block 110000
info  2020-05-19T20:50:31.367 thread-0  block_log.cpp:659             repair_log           ] Recovered block 111000
info  2020-05-19T20:50:31.379 thread-0  block_log.cpp:659             repair_log           ] Recovered block 112000
info  2020-05-19T20:50:31.390 thread-0  block_log.cpp:659             repair_log           ] Recovered block 113000
info  2020-05-19T20:50:31.400 thread-0  block_log.cpp:659             repair_log           ] Recovered block 114000
info  2020-05-19T20:50:31.419 thread-0  block_log.cpp:659             repair_log           ] Recovered block 115000
info  2020-05-19T20:50:31.432 thread-0  block_log.cpp:659             repair_log           ] Recovered block 116000
info  2020-05-19T20:50:31.453 thread-0  block_log.cpp:659             repair_log           ] Recovered block 117000
info  2020-05-19T20:50:31.469 thread-0  block_log.cpp:659             repair_log           ] Recovered block 118000
info  2020-05-19T20:50:31.487 thread-0  block_log.cpp:659             repair_log           ] Recovered block 119000
info  2020-05-19T20:50:31.502 thread-0  block_log.cpp:659             repair_log           ] Recovered block 120000
info  2020-05-19T20:50:31.520 thread-0  block_log.cpp:659             repair_log           ] Recovered block 121000
info  2020-05-19T20:50:31.530 thread-0  block_log.cpp:659             repair_log           ] Recovered block 122000
info  2020-05-19T20:50:31.541 thread-0  block_log.cpp:659             repair_log           ] Recovered block 123000
info  2020-05-19T20:50:31.564 thread-0  block_log.cpp:659             repair_log           ] Recovered block 124000
info  2020-05-19T20:50:31.577 thread-0  block_log.cpp:659             repair_log           ] Recovered block 125000
info  2020-05-19T20:50:31.589 thread-0  block_log.cpp:659             repair_log           ] Recovered block 126000
info  2020-05-19T20:50:31.600 thread-0  block_log.cpp:659             repair_log           ] Recovered block 127000
